rm -f pdml format.o zeek_csv.o
gcc -Wall -c format.c
gcc -Wall -c zeek_csv.c
gcc -Wall -o pdml format.o zeek_csv.o
[./tests/conn.log] Zeek log file being established... (0)
[./tests/conn.log]: Connection Established!
[./tests/conn.log]: #separator \x09
[./tests/conn.log]: 1760666433.167544,CDKtIJ2Jk6DDYU2jX1,172.29.147.79,39138,13.89.178.26,443,tcp,-,0.374993,0,5156,SHR,T,F,0,^hCdacCf,0,0,14,4298,-,6
[./tests/conn.log]: 1760666434.731223,CGaoCF2HcnHo0bAzQc,172.29.147.79,48964,13.89.179.9,443,tcp,-,0.238396,0,5156,SHR,T,F,0,^hCadcf,0,0,10,1340,-,6
[./tests/conn.log]: 1760666734.961336,CQUBck1B1mFsim4Fjh,172.29.147.79,53856,20.189.173.13,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666437.415104,COEjer2yioyvb3nQz9,172.29.147.79,58310,13.89.178.26,443,tcp,-,0.135314,0,5155,SHR,T,F,0,^hCdcafC,0,0,11,4141,-,6
[./tests/conn.log]: 1760666728.498940,CWeIeL2VxFTzuXZYrl,172.29.147.79,54406,8.8.8.8,53,udp,dns,0.017057,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 0,12,5790,-,6
[./tests/conn.log]: 1760666440.221815,CBmiYu4cm3dKjXDZi,172.29.147.79,58314,13.89.178.26,443,tcp,-,0.236749,0,5156,SHR,T,F,0,^hCdcafC,0,0,12,4194,-,6
[./tests/conn.log]: 1760666732.097716,CmSmzP19EkPGMI6cuc,172.29.147.79,53006,8.8.8.8,53,udp,dns,0.018354,0,387,SHR,T,F,0,Cd,0,0,2,443,-,17
[./tests/conn.log]: 1760666734.939535,CcBbo8M6kmifVCDf6,172.29.147.79,40697,8.8.8.8,53,udp,dns,0.021647,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666679.836657,CMD9hu1GE79IjNvUWh,172.29.144.1,58488,239.255.255.250,1900,udp,-,6.023463,411,0,S0,T,T,0,D,3,495,0,0,-,17
[./tests/conn.log]: 1760666445.497330,CWqpW1mPIQPAZBM42,172.29.147.79,34564,13.69.239.74,443,tcp,-,0.527074,0,5156,SHR,T,F,0,^hCdcafC,0,0,10,4090,-,6
[./tests/conn.log]: 1760666448.513898,CmHnln4NDbe10CAElc,172.29.147.79,40680,13.89.178.26,443,tcp,-,0.145874,0,5155,SHR,T,F,0,^hCdcafC,0,0,11,2839,-,6
[./tests/conn.log]: 1760666453.833649,CCIURm4eopJ0GU7sgg,172.29.147.79,49182,20.50.80.213,443,tcp,-,0.523712,0,5156,SHR,T,F,0,^hCadcfC,0,0,13,4246,-,6
[./tests/conn.log]: 1760666749.915206,CxGF8b274TuBKdgREj,172.29.144.1,5353,224.0.0.251,5353,udp,dns,0.791567,927,0,S0,T,T,0,D,6,1095,0,0,-,17
[./tests/conn.log]: 1760666749.915464,CYeCGY2JZhCN572s24,fe80::4bd1:2441:31c:518d,5353,ff02::fb,5353,udp,dns,0.791458,927,0,S0,T,F,0,D,6,1215,0,0,-,17
[./tests/conn.log]: 1760666460.348278,C3Zhem16kx4tRxK3q5,172.29.147.79,34444,52.168.112.66,443,tcp,-,0.253236,0,5156,SHR,T,F,0,^hCdacfC,0,0,11,4142,-,6
[./tests/conn.log]: 1760666462.902296,CPfjID3rJSEAx7z0c,172.29.147.79,54538,52.182.143.214,443,tcp,-,0.165373,0,5155,SHR,T,F,0,^hCdcafC,0,0,11,4141,-,6
[./tests/conn.log]: 1760666777.657981,CRdOKn4QnYb317P1dk,172.29.144.1,5353,224.0.0.251,5353,udp,dns,1.005136,224,0,S0,T,T,0,D,8,448,0,0,-,17
[./tests/conn.log]: 1760666777.658193,C4L0WSJoPvXWiOhd1,fe80::4bd1:2441:31c:518d,5353,ff02::fb,5353,udp,dns,1.005134,224,0,S0,T,F,0,D,8,608,0,0,-,17
[./tests/conn.log]: 1760666778.072574,C5mL8a3Ssa88Ardny9,172.29.144.1,137,172.29.159.255,137,udp,dns,1.519743,150,0,S0,T,T,0,D,3,234,0,0,-,17
